INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,Location
NY-2019-WS-163,9,Rescue,07/15/2019,09:50 PM,4,F,10,NY,US,Hiking,Lost,42.3754,-79.25656,1290,true,Assist/own power,1,true,Wildlife Management Area,Canadaway Creek Wildlife Management Area,CHAUTAUQUA,ARKWRIGHT,false,false,07/16/2019,02:00 AM,POINT (-79.25656 42.3754)
NY-2019-WS-315,5,Search,11/01/2019,01:35 PM,1,M,76,NY,US,Hunting,Lost,43.89524,-73.66151,1000,true,Assist/own power,5,false,Forest Preserve,Hammond Pond Wild Forest,ESSEX,SCHROON,true,false,11/01/2019,04:35 PM,POINT (-73.66151 43.89524)
NY-2019-WS-066,3,Search,04/25/2019,01:00 PM,2,F,12,NY,US,Hiking,Lost,41.71966,-74.71272,1178,true,Assist/own power,1,true,Other Municipal Land,NA,SULLIVAN,THOMPSON,false,false,04/25/2019,02:30 PM,POINT (-74.71272 41.71966)
NY-2019-WS-259,3,Recovery,09/18/2019,10:00 AM,1,M,35,NY,US,Despondent,Missing,41.76033,-74.24643,592,true,Carry out by foot,29,true,OPRHP State Land,Minnewaska State Park,ULSTER,ROCHESTER,false,false,09/24/2019,12:15 PM,POINT (-74.24643 41.76033)
NY-2015-WS-061,3,Search,04/28/2015,08:00 AM,1,M,37,NY,US,Despondent,Missing,41.94923,-74.6993,2014,true,,10,true,Forest Preserve,Willowemoc Wild Forest,SULLIVAN,ROCKLAND,false,true,04/28/2015,11:00 AM,POINT (-74.6993 41.94923)
NY-2014-WS-146,5,Recovery,07/26/2014,12:18 PM,1,M,66,QC,CA,Hiking,Illness,44.14054,-73.73792,1900,false,Carry out by foot,4,true,Forest Preserve,Giant Mt Wilderness Area,ESSEX,KEENE,true,false,07/26/2014,05:00 PM,POINT (-73.73792 44.14054)
NY-2017-WS-291,5,Search,10/10/2017,10:52 PM,1,M,61,NY,US,Hunting,Lost,43.24845,-74.65411,1480,true,Assist/own power,2,true,Forest Preserve,Ferris Lake Wild Forest,FULTON,STRATFORD,true,false,10/11/2017,01:30 AM,POINT (-74.65411 43.24845)
NY-2022-WS-181,5,Search,07/28/2022,08:00 PM,1,M,37,NY,US,Hiking,Lost,43.80091,-74.14798,1678,true,Assist/own power,3,true,Forest Preserve,Hudson Gorge Wilderness,HAMILTON,INDIAN LAKE,true,false,07/29/2022,02:07 AM,POINT (-74.14798 43.80091)
NY-2022-WS-073,4,Rescue,05/08/2022,11:44 AM,1,M,42,NY,US,Hiking,Illness,42.2735,-74.09914,3054,true,Assist/own power,2,false,Forest Preserve,Windham Blackhead Wilderness Range,GREENE,WINDHAM,false,true,05/08/2022,04:17 PM,POINT (-74.09914 42.2735)
NY-2020-WS-262,5,Search,08/14/2020,06:58 PM,1,M,35,MA,US,Swimming,Missing,43.22982,-73.58728,111,false,Dive Team,5,true,Other Municipal Land,N/A,WASHINGTON,FORT EDWARD,false,false,08/14/2020,11:28 PM,POINT (-73.58728 43.22982)
NY-2021-WS-366,4,Rescue,10/23/2021,04:08 PM,1,M,51,NY,US,Hiking,Injured,42.21118,-74.04089,2414,false,Assist/own power,2,true,DEC Campground,North South Lake Campground,GREENE,HUNTER,false,true,10/23/2021,08:00 PM,POINT (-74.04089 42.21118)
NY-2015-WS-281,5,Search,09/27/2015,07:44 PM,1,F,16,NY,US,Hiking,Lost,43.59768,-73.56458,325,true,Vehicle/boat evacuation,3,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,true,false,09/28/2015,10:00 PM,POINT (-73.56458 43.59768)
NY-2018-WS-309,5,Rescue,10/23/2018,01:22 PM,1,F,42,TX,US,Hiking,Injured,44.15905,-73.97962,3350,true,Assist/own power; Vehicle/boat evacuation,9,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,10/23/2018,05:00 PM,POINT (-73.97962 44.15905)
NY-2018-WS-263,5,Rescue,09/15/2018,07:54 PM,1,M,28,NY,US,Hiking,Illness,43.57466,-73.62522,325,true,Vehicle/boat evacuation,2,true,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,true,false,09/15/2018,10:00 PM,POINT (-73.62522 43.57466)
NY-2013-WS-296,5,Rescue,12/28/2013,02:41 PM,1,M,68,NY,US,Climbing:Rock/Ice,Injured,44.14369,-73.7572,1473,false,Carry out by foot,9,true,Forest Preserve,Dix Mountain Wilderness,ESSEX,KEENE,true,false,12/28/2013,05:45 PM,POINT (-73.7572 44.14369)
NY-2018-WS-254,5,Search,09/08/2018,06:45 PM,2,F,40,NJ,US,Climbing:Rock/Ice,Lost,44.12512,-74.05186,2042,true,Assist/own power,15,true,Forest Preserve,High Peaks Wilderness,ESSEX,NEWCOMB,true,false,09/09/2018,08:39 AM,POINT (-74.05186 44.12512)
NY-2017-WS-083,5,Search,04/23/2017,07:44 PM,2,M,17,NY,US,Hiking,Lost,43.56471,-73.55346,2100,true,Assist/own power,2,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,true,false,04/23/2017,11:44 PM,POINT (-73.55346 43.56471)
NY-2018-WS-009,5,Rescue,01/27/2018,05:10 PM,1,F,27,NY,US,Hiking,Injured,43.547,-73.979,2100,true,Technical Rope,4,true,Forest Preserve,Wilcox Lake Wild Forest,WARREN,THURMAN,true,false,01/28/2018,04:00 AM,POINT (-73.979 43.547)
NY-2013-WS-051,5,Search,05/19/2013,06:53 PM,1,M,46,NY,US,Hiking,Lost,43.8601,-74.7063,3000,true,Assist/own power; Vehicle/boat evacuation,2,false,Forest Preserve,Pigeon Lake Wilderness,HAMILTON,LONG LAKE,true,false,05/20/2013,12:45 AM,POINT (-74.7063 43.8601)
NY-2022-WS-273,5,Search,09/27/2022,07:00 PM,1,M,35,NY,US,Hiking,Lost,44.07154,-73.96714,2400,true,Assist/own power,2,true,Forest Preserve,High Peaks Wilderness,ESSEX,NEWCOMB,true,false,09/28/2022,01:15 AM,POINT (-73.96714 44.07154)
NY-2019-WS-068,5,Rescue,05/01/2019,08:43 PM,3,M,19,NJ,US,Hiking,Overdue,44.17825,-73.95944,2200,true,Assist/own power,3,true,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,05/01/2019,11:45 PM,POINT (-73.95944 44.17825)
NY-2020-WS-428,4,Search,10/22/2020,08:50 PM,1,M,41,NY,US,Hiking,Stranded,42.14674,-74.14346,2637,true,Assist/own power,1,true,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,false,true,10/23/2020,02:00 AM,POINT (-74.14346 42.14674)
NY-2015-WS-094,5,Rescue,05/24/2015,04:54 PM,1,M,56,NY,US,Hiking,Illness,44.13291,-73.94107,3600,true,Vehicle/boat evacuation,3,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,05/24/2015,08:30 PM,POINT (-73.94107 44.13291)
NY-2019-WS-297,5,Search,10/13/2019,07:15 PM,2,M,16,NY,US,Hiking,Lost,43.2416,-73.7296,1170,true,Assist/own power,2,true,OPRHP State Land,Moreau State Park,SARATOGA,MOREAU,false,false,10/13/2019,11:15 PM,POINT (-73.7296 43.2416)
NY-2015-WS-043,5,Search,04/03/2015,08:34 PM,3,M,19,NY,US,Hiking,Lost,43.50619,-73.60191,1407,true,Assist/own power,2,false,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,true,false,04/04/2015,03:00 AM,POINT (-73.60191 43.50619)
NY-2018-WS-124,7,Search,06/24/2018,01:00 AM,1,M,75,NY,US,Walking,Missing,42.93901,-75.78033,1430,true,Carry out by foot,8,true,Private Land,Nelson Swamp Unique Area,MADISON,FENNER,false,false,06/24/2018,09:00 AM,POINT (-75.78033 42.93901)
NY-2018-WS-025,3,Search,02/28/2018,11:00 AM,1,M,30,NY,US,Walking,Missing,42.07286,-73.95451,40,true,Carry out by foot; Dive Team,4,true,Other Municipal Land,NA,ULSTER,SAUGERTIES,false,false,03/03/2018,02:00 PM,POINT (-73.95451 42.07286)
NY-2014-WS-186,5,Rescue,08/19/2014,03:54 PM,1,M,50,NY,US,Hiking,Injured,43.80243,-73.63911,1150,false,Assist/own power; Vehicle/boat evacuation,3,true,Forest Preserve,Pharaoh Lake Wilderness Area,ESSEX,SCHROON,true,false,08/20/2014,06:48 PM,POINT (-73.63911 43.80243)
NY-2017-WS-251,5,Rescue,09/04/2017,01:46 PM,1,F,33,NY,US,Hiking,Injured,43.96276,-74.49047,2077,false,Vehicle/boat evacuation,4,true,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,LONG LAKE,true,false,09/04/2017,04:33 PM,POINT (-74.49047 43.96276)
NY-2017-WS-345,3,Search,12/09/2017,08:03 PM,6,M,28,NJ,US,Hiking,Lost,41.98656,-74.35931,3339,true,Assist/own power,10,true,Forest Preserve,Friday Mountain,ULSTER,SHANDAKEN,false,true,12/10/2017,07:45 AM,POINT (-74.35931 41.98656)
NY-2015-WS-075,9,Search,05/11/2015,08:00 PM,2,M,20,NY,US,Hiking,Lost,42.39349,-79.28241,1100,true,Assist/own power,1,true,Private Land,N/a,CHAUTAUQUA,ARKWRIGHT,false,false,05/11/2015,10:30 PM,POINT (-79.28241 42.39349)
NY-2019-WS-274,6,Rescue,10/01/2019,07:57 PM,1,F,53,NY,US,Hiking,Stranded,43.74213,-74.90627,2230,true,Assist/own power,4,true,Forest Preserve,Fulton Chain Wild Forest,HERKIMER,WEBB,true,false,10/01/2019,10:03 PM,POINT (-74.90627 43.74213)
NY-2017-WS-178,5,Rescue,07/21/2017,10:00 PM,6,M,47,NJ,US,Hiking,Overdue,43.60397,-73.51512,1700,true,Assist/own power,1,false,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,true,false,07/22/2017,07:50 AM,POINT (-73.51512 43.60397)
NY-2021-WS-218,5,Rescue,08/02/2021,07:00 PM,1,M,,NY,US,Boating,Stranded,43.9742,-74.42088,1643,false,Vehicle/boat evacuation,2,true,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,LONG LAKE,true,false,08/02/2021,08:26 PM,POINT (-74.42088 43.9742)
NY-2012-WS-055,9,Search,05/17/2012,08:05 PM,1,F,53,NY,US,Hiking,Lost,42.44485,-78.90103,900,true,Assist/own power,1,true,Other DEC Land,Zoar Valley,CATTARAUGUS,PERSIA,false,false,05/17/2012,11:39 PM,POINT (-78.90103 42.44485)
NY-2019-WS-191,5,Search,08/01/2019,04:34 PM,4,F,33,QC,CA,Hiking,Lost,43.54272,-73.77803,1010,true,Assist/own power,2,true,Private Land,Private Land,WARREN,WARRENSBURG,true,false,08/01/2019,06:04 PM,POINT (-73.77803 43.54272)
NY-2018-WS-197,3,Rescue,08/05/2018,11:17 AM,1,M,22,NY,US,Climbing:Rock/Ice,Injured,41.74591,-74.17777,1100,true,High Angle; Vehicle/boat evacuation,5,true,Private Land,NA,ULSTER,GARDINER,false,false,08/05/2018,03:30 PM,POINT (-74.17777 41.74591)
NY-2019-WS-084,5,Search,05/24/2019,04:13 PM,3,F,26,NY,US,Hiking,Overdue,44.17228,-73.95937,2225,true,Assist/own power,2,true,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,true,false,05/24/2019,10:16 PM,POINT (-73.95937 44.17228)
NY-2016-WS-095,9,Search,05/23/2016,09:00 PM,2,M,19,NY,US,Hiking,Lost,42.24469,-79.57877,1239,true,Assist/own power,1,true,Private Land,NA,CHAUTAUQUA,CHAUTAUQUA,false,false,05/23/2016,11:55 PM,POINT (-79.57877 42.24469)
NY-2014-WS-280,5,Rescue,12/06/2014,04:23 PM,1,M,21,NY,US,Hiking,Lost,44.145,-73.98667,4950,true,Assist/own power,2,true,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,12/06/2014,10:15 PM,POINT (-73.98667 44.145)
NY-2017-WS-265,5,Search,09/21/2017,07:12 PM,1,F,32,NY,US,Hiking,Lost,43.46111,-73.61861,340,true,Assist/own power,2,true,Private Land,Private Land,WASHINGTON,FORT ANN,true,false,09/21/2017,09:00 PM,POINT (-73.61861 43.46111)
NY-2012-WS-098,5,Search,06/23/2012,09:30 PM,2,F,36,CT,US,Hiking,Overdue,44.08998,-74.05606,1600,true,,1,true,Forest Preserve,High Peaks Wilderness Area,ESSEX,NEWCOMB,true,false,06/24/2012,12:30 AM,POINT (-74.05606 44.08998)
NY-2012-WS-266,9,Search,12/04/2012,05:58 PM,1,M,73,NY,US,Hunting,Lost,42.35239,-78.18259,1642,true,Assist/own power,2,true,State Forests,Rush Creek,ALLEGANY,RUSHFORD,false,false,12/04/2012,10:00 PM,POINT (-78.18259 42.35239)
NY-2019-WS-114,5,Search,06/15/2019,10:30 PM,2,F,41,NY,US,Hiking,Lost,44.08181,-74.09422,2250,true,Assist/own power; Vehicle/boat evacuation,3,true,Forest Preserve,W. High Peaks Wilderness,ESSEX,NEWCOMB,true,false,06/16/2019,01:00 PM,POINT (-74.09422 44.08181)
NY-2020-WS-035,4,Rescue,02/29/2020,04:11 PM,1,M,11,NY,US,Climbing:Rock/Ice,Injured,42.13046,-74.08181,1438,false,Carry out by foot; High Angle; Technical Rope,18,true,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,false,true,03/01/2020,05:00 PM,POINT (-74.08181 42.13046)
NY-2012-WS-164,7,Search,08/26/2012,04:44 PM,1,M,34,NY,US,Motor vehicle,Missing,43.19284,-76.36644,408,true,Assist/own power,1,true,Wildlife Management Area,Three Rivers Wild Life Managment,ONONDAGA,LYSANDER,false,false,08/26/2012,09:15 PM,POINT (-76.36644 43.19284)
NY-2016-WS-184,3,Search,07/24/2016,08:15 PM,7,M,7,NY,US,Hiking,Lost,41.56587,-74.61742,1500,false,Assist/own power,2,true,Other DEC Land,Neversink River Unique Area,SULLIVAN,NEVERSINK,false,false,07/24/2016,10:30 PM,POINT (-74.61742 41.56587)
NY-2013-WS-042,5,Search,04/29/2013,09:00 AM,2,F,35,NY,US,Hiking,Lost,43.49691,-74.15714,1300,true,Assist/own power,9,false,Forest Preserve,Wilcox Lake Wild Forest,WARREN,JOHNSBURG,true,false,04/29/2013,03:30 PM,POINT (-74.15714 43.49691)
NY-2015-WS-257,7,Search,09/08/2015,04:45 PM,1,M,83,NY,US,Walking,Missing,43.06119,-75.75164,500,true,Vehicle/boat evacuation,1,true,Private Land,N/A,MADISON,LINCOLN,false,false,09/08/2015,08:30 PM,POINT (-75.75164 43.06119)
NY-2020-WS-444,5,Search,11/06/2020,06:25 AM,2,M,69,NY,US,Hiking,Lost,43.30959,-74.65435,1660,false,Assist/own power,3,true,Forest Preserve,Ferris Lake Wild Forest,HAMILTON,MOREHOUSE,true,false,11/06/2020,12:35 PM,POINT (-74.65435 43.30959)
NY-2019-WS-300,6,Search,10/14/2019,03:25 PM,1,F,50,NY,US,Hiking,Lost,43.69234,-75.05937,1800,false,Assist/own power,3,true,Forest Preserve,Ha-Da-Ron-Da Wilderness Area,HERKIMER,WEBB,true,false,10/14/2019,05:38 PM,POINT (-75.05937 43.69234)
NY-2021-WS-152,6,Rescue,06/25/2021,06:14 PM,2,F,14,NY,US,Off road vehicle/ATV,Injured,43.99718,-75.32064,1128,false,Vehicle/boat evacuation,1,true,State Forests,Frank E Jadwin State Forest,LEWIS,CROGHAN,false,false,06/25/2021,11:13 PM,POINT (-75.32064 43.99718)
NY-2017-WS-093,5,Search,05/12/2017,11:15 PM,1,M,29,NY,US,Hiking,Lost,44.19399,-73.78108,900,true,Assist/own power,5,true,Forest Preserve,Giant Mountain Wilderness,ESSEX,KEENE,true,false,05/13/2017,08:44 AM,POINT (-73.78108 44.19399)
NY-2020-WS-438,6,Search,10/29/2020,05:32 PM,1,M,24,NY,US,Hunting,Overdue,44.09798,-74.96388,1608,false,Assist/own power,6,false,Forest Preserve,Five Ponds Wilderness,ST LAWRENCE,FINE,true,false,10/29/2020,08:30 PM,POINT (-74.96388 44.09798)
NY-2015-WS-350,3,Recovery,12/12/2015,03:30 PM,1,M,45,NY,US,Hiking,Injured,41.72992,-74.19711,700,true,Carry out by foot,1,true,Private Land,N/A,ULSTER,GARDINER,false,false,12/12/2015,06:00 PM,POINT (-74.19711 41.72992)
NY-2020-WS-366,9,Search,09/27/2020,07:30 PM,1,M,26,NY,US,Hiking,Lost,42.38644,-79.27439,1400,false,Assist/own power,1,true,Private Land,none,CHAUTAUQUA,ARKWRIGHT,false,false,09/27/2020,09:00 PM,POINT (-79.27439 42.38644)
NY-2020-WS-288,6,Search,08/21/2020,11:00 AM,2,F,57,NY,US,Camping,Overdue,44.08589,-74.49509,1490,true,Assist/own power,10,true,Forest Preserve,Cranberry Lake Wild Forest,ST LAWRENCE,CLIFTON,true,false,08/21/2020,04:45 PM,POINT (-74.49509 44.08589)
NY-2018-WS-170,5,Search,07/20/2018,09:30 PM,1,F,30,NY,US,Hiking,Lost,44.26461,-73.66046,2625,true,Vehicle/boat evacuation,1,true,County Land,Blueberry Mt (Local Name),ESSEX,ELIZABETHTOWN,true,false,07/20/2018,10:40 PM,POINT (-73.66046 44.26461)
NY-2012-WS-130,5,Rescue,07/17/2012,05:00 PM,29,M,,NY,US,Boating,Stranded,44.25393,-74.24718,1539,false,Vehicle/boat evacuation,2,true,Forest Preserve,Saranac Lake Wild Forest,FRANKLIN,HARRIETSTOWN,true,false,07/17/2012,11:00 PM,POINT (-74.24718 44.25393)
NY-2017-WS-337,3,Search,12/01/2017,06:20 AM,1,M,60,NY,US,Hiking,Overdue,41.97403,-74.43587,1731,true,Assist/own power,7,false,Forest Preserve,Slide Mountain Wilderness Area,ULSTER,DENNING,false,true,12/01/2017,10:40 AM,POINT (-74.43587 41.97403)
NY-2018-WS-050,5,Search,05/02/2018,05:14 PM,1,F,56,NY,US,Hiking,Lost,43.96468,-74.46593,1798,true,Assist/own power,2,true,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,LONG LAKE,true,false,05/02/2018,08:30 PM,POINT (-74.46593 43.96468)
NY-2022-WS-098,5,Rescue,05/29/2022,03:30 PM,1,,28,CT,US,Hiking,Injured,44.11706,-73.9142,4634,true,Assist/own power,1,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,05/29/2022,11:37 PM,POINT (-73.9142 44.11706)
NY-2015-WS-306,5,Rescue,10/12/2015,04:00 PM,1,F,46,NY,US,Hiking,Injured,43.5514,-73.55471,1470,false,Assist/own power,3,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,true,false,10/12/2015,06:30 PM,POINT (-73.55471 43.5514)
NY-2017-WS-312,5,Rescue,10/28/2017,12:26 PM,1,M,50,NY,US,Hiking,Injured,44.36061,-73.79547,1156,true,Vehicle/boat evacuation,3,true,Forest Preserve,Wilmington Wild Forest,ESSEX,WILMINGTON,true,false,10/28/2017,02:25 PM,POINT (-73.79547 44.36061)
NY-2013-WS-046,9,Search,05/05/2013,10:30 AM,5,F,24,NY,US,Hiking,Lost,42.44082,-78.79509,1263,true,Assist/own power,1,false,State Forests,East Otto State Forest,CATTARAUGUS,EAST OTTO,false,false,05/05/2013,12:25 PM,POINT (-78.79509 42.44082)
NY-2018-WS-287,8,Search,10/05/2018,09:47 AM,1,M,22,NY,US,Despondent,Missing,43.26512,-76.94521,280,true,Assist/own power,5,true,Private Land,n/a,WAYNE,HURON,false,false,10/05/2018,04:00 PM,POINT (-76.94521 43.26512)
NY-2018-WS-180,4,Rescue,07/28/2018,02:10 PM,1,F,30,NY,US,Hiking,Injured,42.19313,-74.06461,1850,false,Assist/own power,1,true,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,07/28/2018,05:00 PM,POINT (-74.06461 42.19313)
NY-2020-WS-204,6,Rescue,07/20/2020,08:00 AM,1,M,,NY,US,Hiking,Injured,44.22062,-74.82237,1507,true,Assist/own power,1,false,Forest Preserve,Cranberry Lake Wild Forest,ST LAWRENCE,CLIFTON,true,false,07/20/2020,09:30 AM,POINT (-74.82237 44.22062)
NY-2019-WS-170,5,Rescue,07/19/2019,06:47 PM,1,F,26,NY,US,Hiking,Injured,44.71063,-73.86083,3240,true,Carry out by foot,7,true,Forest Preserve,Chazy Highlands Wild Forest,CLINTON,DANNEMORA,true,false,07/20/2019,03:00 AM,POINT (-73.86083 44.71063)
NY-2019-WS-306,6,Search,10/19/2019,06:09 PM,1,F,28,NY,US,Runaway,Missing,44.23255,-75.84257,403,true,Assist/own power,6,true,Private Land,Private Land,JEFFERSON,THERESA,false,false,10/19/2019,08:54 PM,POINT (-75.84257 44.23255)
NY-2021-WS-064,5,Rescue,04/17/2021,07:20 PM,1,F,26,NY,US,Hiking,Stranded,43.62687,-73.60139,334,true,Assist/own power,2,false,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,true,false,04/17/2021,10:10 PM,POINT (-73.60139 43.62687)
NY-2016-WS-296,5,Rescue,10/09/2016,03:07 PM,1,M,21,MD,US,Hiking,Injured,44.16836,-73.96587,2180,true,Vehicle/boat evacuation,1,true,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,true,false,10/09/2016,05:00 PM,POINT (-73.96587 44.16836)
NY-2021-WS-025,5,Rescue,03/04/2021,12:55 PM,1,M,76,NY,US,Snowmobile,Injured,43.82682,-74.33846,1954,false,Vehicle/boat evacuation,3,true,Forest Preserve,Blue Mountain Wild Forest,HAMILTON,INDIAN LAKE,true,false,03/04/2021,02:10 PM,POINT (-74.33846 43.82682)
NY-2020-WS-332,4,Search,09/06/2020,09:00 PM,3,M,22,NY,US,Hiking,Lost,42.13122,-74.08294,1392,true,Assist/own power; Technical Rope,4,false,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,false,true,09/07/2020,04:30 AM,POINT (-74.08294 42.13122)
NY-2013-WS-191,6,Search,09/04/2013,08:58 AM,1,F,78,NY,US,Walking,Illness,43.25315,-75.11378,740,true,Assist/own power; Carry out by foot,6,true,Private Land,Not on DEC State Land,HERKIMER,RUSSIA,false,false,09/04/2013,06:40 PM,POINT (-75.11378 43.25315)
NY-2021-WS-077,9,Search,05/03/2021,12:49 AM,1,M,22,NY,US,Walking,Missing,42.08781,-78.43075,1417,false,Assist/own power,5,true,Private Land,Private land,CATTARAUGUS,OLEAN,false,false,05/08/2021,09:00 PM,POINT (-78.43075 42.08781)
NY-2014-WS-077,5,Search,06/01/2014,01:00 AM,2,F,27,NY,US,Hiking,Stranded,44.13374,-73.81159,1600,true,Assist/own power,1,false,Forest Preserve,AMR,ESSEX,KEENE,true,false,06/01/2014,06:00 AM,POINT (-73.81159 44.13374)
NY-2021-WS-194,5,Rescue,07/24/2021,09:15 AM,1,M,38,NY,US,Hiking,Injured,43.64469,-74.52931,1800,true,Vehicle/boat evacuation,1,true,Forest Preserve,West Canada Lakes Wilderness,HAMILTON,LAKE PLEASANT,true,false,07/24/2021,12:30 PM,POINT (-74.52931 43.64469)
NY-2020-WS-411,5,Rescue,10/12/2020,10:35 PM,4,F,12,NY,US,Hiking,Stranded,43.67574,-74.19818,2185,true,Assist/own power; Vehicle/boat evacuation,3,false,Forest Preserve,Siamese Ponds Wilderness,WARREN,JOHNSBURG,true,false,10/13/2020,10:00 AM,POINT (-74.19818 43.67574)
NY-2018-WS-041,5,Search,04/10/2018,05:03 PM,1,F,19,NY,US,Hiking,Stranded,43.54238,-73.58329,860,true,Assist/own power,1,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,true,false,04/10/2018,07:00 PM,POINT (-73.58329 43.54238)
NY-2015-WS-236,5,Search,08/26/2015,11:36 AM,1,F,61,NY,US,Hiking,Lost,43.50019,-73.60375,1200,true,Assist/own power,2,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,true,false,08/26/2015,03:01 PM,POINT (-73.60375 43.50019)
NY-2018-WS-173,6,Search,07/25/2018,05:38 PM,5,F,40,NY,US,Hiking,Lost,43.66974,-74.99782,1726,true,Assist/own power; Carry out by foot,8,true,Forest Preserve,Black River Wild Forest,HERKIMER,WEBB,true,false,07/25/2018,11:37 PM,POINT (-74.99782 43.66974)
NY-2015-WS-322,5,Rescue,11/01/2015,05:19 PM,3,F,25,NY,US,Hiking,Stranded,43.35501,-73.42323,1840,false,Assist/own power,1,false,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,true,false,11/01/2015,09:00 PM,POINT (-73.42323 43.35501)
NY-2017-WS-294,5,Rescue,10/13/2017,02:49 PM,1,F,46,NY,US,Hiking,Injured,44.23886,-74.22561,1705,true,Assist/own power,2,true,Forest Preserve,High Peaks Wilderness,FRANKLIN,HARRIETSTOWN,true,false,10/13/2017,04:16 PM,POINT (-74.22561 44.23886)
NY-2021-WS-131,5,Rescue,06/12/2021,04:15 PM,1,M,31,NY,US,Swimming,Injured,44.25506,-74.2424,469,false,Carry out by foot,3,true,Forest Preserve,Saranac Lakes Wild Forest,FRANKLIN,HARRIETSTOWN,false,false,06/12/2021,05:58 PM,POINT (-74.2424 44.25506)
NY-2020-WS-240,5,Rescue,08/01/2020,09:43 PM,5,,30,NJ,US,Hiking,Lost,44.17946,-73.96527,1193,true,Assist/own power,2,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,08/01/2020,11:30 PM,POINT (-73.96527 44.17946)
NY-2015-WS-103,5,Search,05/31/2015,09:44 PM,2,M,13,NY,US,Hiking,Overdue,44.11287,-73.57598,2133,true,Assist/own power,1,true,Forest Preserve,High Peaks,ESSEX,NORTH ELBA,true,false,05/31/2015,10:50 PM,POINT (-73.57598 44.11287)
NY-2018-WS-073,5,Search,05/27/2018,04:39 PM,2,M,31,NJ,US,Hiking,Lost,43.83349,-73.59522,1440,false,Assist/own power,1,true,Forest Preserve,Pharoah Lakes Wilderness,ESSEX,TICONDEROGA,true,false,05/27/2018,08:00 PM,POINT (-73.59522 43.83349)
NY-2017-WS-239,5,Search,08/29/2017,05:10 PM,4,M,56,NY,US,Boating,Lost,43.49552,-74.36233,1762,false,Assist/own power,1,false,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,ARIETTA,true,false,08/29/2017,07:30 PM,POINT (-74.36233 43.49552)
NY-2015-WS-131,3,Search,06/24/2015,12:00 AM,2,F,33,NY,US,Hiking,Lost,42.06288,-74.39441,3395,true,Assist/own power,3,true,Forest Preserve,Slide Mt. Wilderness Area,ULSTER,SHANDAKEN,false,true,06/24/2015,09:30 AM,POINT (-74.39441 42.06288)
NY-2018-WS-297,5,Search,10/12/2018,03:16 PM,2,F,22,NY,US,Hiking,Lost,44.15133,-73.76154,1549,true,Assist/own power,2,true,Forest Preserve,Giant Mountain Wilderness Area,ESSEX,KEENE,true,false,10/12/2018,04:45 PM,POINT (-73.76154 44.15133)
NY-2020-WS-467,4,Search,11/22/2020,04:50 PM,1,M,22,NJ,US,Hiking,Lost,42.14272,-74.06458,2383,true,Assist/own power,2,false,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,11/22/2020,08:00 PM,POINT (-74.06458 42.14272)
